OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
OCEANSAT-2,2009-051A,2026-09-12T21:54:06.257088,13.99667465,0.00156175,98.2417,234.0376,350.6427,9.4446,0,U,35931,999,89160,-8.7123931e-05,-1.65e-06,0
CARTOSAT-2B,2010-035A,2026-09-12T21:43:45.249312,14.78622185,0.00100078,97.9876,305.8547,268.7835,91.223,0,U,36795,999,87281,6.1506493e-05,3.98e-06,0
HAIYANG-2A,2011-043A,2026-09-13T00:08:21.094080,13.71463929,0.00035962,99.3444,256.5277,126.6866,233.4613,0,U,37781,999,75870,-5.2003576e-05,-9e-07,0
SRMSAT,2011-058D,2026-09-12T16:22:22.512864,14.11591944,0.00119825,19.9711,249.8734,86.8018,70.1276,0,U,37841,999,77019,5.2563001e-05,3.62e-06,0
ARIRANG-3 (KOMPSAT-3),2012-025B,2026-09-12T23:08:05.430336,14.62270076,0.00049738,98.1267,211.9512,185.2406,174.8745,0,U,38338,999,76417,6.1756371e-05,2.65e-06,0
SARAL,2013-009A,2026-09-12T22:55:54.870816,14.32906908,0.00026575,98.5566,81.4257,52.0128,308.1296,0,U,39086,999,70817,2.6035945e-05,2.7e-07,0
ARIRANG-5 (KOMPSAT-5),2013-042A,2026-09-12T22:58:16.438944,15.04542645,0.00032164,97.6205,81.4371,164.2288,195.9038,0,U,39227,999,71705,2.0445403e-05,2.26e-06,0
KAZEOSAT 1,2014-024A,2026-09-12T22:24:29.146752,14.42062827,0.00014454,98.3143,326.1628,92.4355,267.7001,0,U,39731,999,65120,2.761044e-05,4.8e-07,0
SKYSAT-B,2014-037D,2026-09-12T20:56:32.829216,14.88212582,0.0005675,98.394,219.8913,8.115,352.0156,0,U,40072,999,65900,0.00011012453,9.54e-06,0
WORLDVIEW-3 (WV-3),2014-048A,2026-09-12T23:02:49.900128,14.85137996,0.00024205,97.8497,329.5545,59.8544,300.291,0,U,40115,999,65493,6.6239286e-05,5.13e-06,0
GAOFEN-2,2014-049A,2026-09-12T22:39:04.503168,14.80996749,0.00063442,98.0034,320.0324,318.5281,41.5449,0,U,40118,999,65222,8.7001204e-05,6.21e-06,0
YAOGAN-22,2014-063A,2026-09-12T22:45:48.817152,13.15533189,0.00062352,100.7861,48.7329,358.2874,1.8215,0,U,40275,999,57135,-2.0702131e-05,-5.5e-07,0
CBERS 4,2014-079A,2026-09-12T22:20:23.242848,14.35517826,0.00019505,98.3451,309.9719,98.6052,261.5355,0,U,40336,999,61654,7.04146e-06,-2.2e-07,0
YAOGAN-27,2015-040A,2026-09-12T23:37:37.113312,13.16075273,0.00085737,100.1257,238.5906,16.8026,343.3371,0,U,40878,999,52921,0.00025017654,5.3e-07,0
KENT RIDGE 1,2015-077B,2026-09-12T07:28:58.123776,15.23580049,0.00081237,14.9805,337.817,29.5153,330.5627,0,U,41167,999,59440,9.436726e-05,3.091e-05,0
JASON-3,2016-002A,2026-09-12T22:12:06.429888,12.87627419,0.00085701,66.0417,301.3762,267.0812,92.9226,0,U,41240,999,49854,0.00011299099,-3.4e-07,0
SENTINEL-3A,2016-011A,2026-09-12T22:46:34.472640,14.26734427,0.00010927,98.6287,322.0596,106.0521,254.078,0,U,41335,999,55057,5.9092979e-05,9.9e-07,0
GAOFEN-3,2016-049A,2026-09-12T23:39:19.004832,14.42224927,8.852e-05,98.4044,262.4604,76.2678,283.861,0,U,41727,999,53130,9.70234e-06,-1.1e-07,0
ALSAT-1B,2016-059C,2026-09-12T23:29:52.669248,14.72329955,0.00082211,97.7785,260.9705,311.6246,48.4257,0,U,41785,999,53349,1.5832974e-05,5.3e-07,0
PATHFINDER 1,2016-059E,2026-09-12T22:41:09.713184,14.6775397,0.0026989,97.8228,251.2894,287.5317,72.294,0,U,41787,999,53258,7.7392934e-05,3.96e-06,0
GOKTURK 1A,2016-073A,2026-09-12T22:32:48.539616,14.62748356,0.00015722,98.1546,149.342,78.2322,281.9056,0,U,41875,999,52165,6.0584981e-05,2.62e-06,0
RESOURCESAT-2A,2016-074A,2026-09-12T23:28:49.602432,14.21611834,0.00023521,98.7469,328.7353,156.9739,203.1544,0,U,41877,999,50677,3.5184619e-05,3.3e-07,0
CARTOSAT-2E,2017-036C,2026-09-12T21:45:30.273696,15.19259069,0.00036347,97.4189,314.2188,27.3603,332.7823,0,U,42767,999,51146,8.0710585e-05,1.634e-05,0
SENTINEL-5P,2017-064A,2026-09-12T16:11:26.518272,14.19531183,0.00011776,98.7975,197.2005,76.7884,283.3424,0,U,42969,999,46197,3.2191132e-05,2.4e-07,0
GAOFEN-1 03,2018-031B,2026-09-12T23:19:30.588384,14.76445587,0.00037241,98.0434,318.0615,129.564,230.5899,0,U,43260,999,45564,6.9604173e-05,4.33e-06,0
GAOFEN-5 01,2018-043A,2026-09-12T22:51:10.859328,14.60655891,0.00023129,98.4683,229.4308,135.4797,224.6589,0,U,43461,999,44450,5.301323e-05,2.09e-06,0
GAOFEN-6,2018-048A,2026-09-12T23:19:34.673376,14.76438106,0.00093352,98.0892,318.7909,246.3245,113.6985,0,U,43484,999,44634,5.2094015e-05,3.1e-06,0
HYSIS,2018-096A,2026-09-12T23:31:13.169856,14.78648879,0.00011441,97.9769,322.0015,108.6133,251.5203,0,U,43719,999,42039,7.3383904e-05,4.86e-06,0
SENTINEL-6A,2020-086A,2026-09-12T16:28:49.396512,12.80929282,0.00078955,66.0425,313.3159,268.9745,91.0365,0,U,46984,999,27153,0.00011971399,-3.3e-07,0
PLEIADES NEO 3,2021-034A,2026-09-12T23:28:04.128384,14.81674206,0.00015089,97.8957,329.4824,86.0873,274.0512,0,U,48268,999,29065,8.158246e-05,5.9e-06,0
GAOFEN-12 03,2022-069A,2026-09-12T22:31:58.711008,14.80150434,9.367e-05,97.8137,141.541,109.7675,250.3639,0,U,52912,999,22759,9.9245176e-05,7.03e-06,0
SENTINEL-2C,2024-157A,2026-09-12T22:26:03.755616,14.3081311,0.00014213,98.5728,329.4479,90.122,270.0126,0,U,60989,999,10553,4.3472885e-05,7e-07,0
IONOSFERA-M 2,2024-199B,2026-09-12T22:10:23.696832,14.22771205,0.00019805,98.702,128.023,77.0873,283.0526,0,U,61736,999,14330,3.3709583e-05,3.2e-07,0
IONOSFERA-M 3,2025-155A,2026-09-12T22:47:40.602336,14.21498986,0.00012741,98.6134,215.6839,19.1543,340.9683,0,U,64876,999,5887,2.6795722e-05,1.6e-07,0
IONOSFERA-M 4,2025-155B,2026-09-12T21:56:16.217376,14.21501573,9.038e-05,98.6126,215.5656,47.8365,312.2889,0,U,64877,999,5886,2.9401839e-05,2.1e-07,0
SENTINEL-6B,2025-264A,2026-09-12T12:44:28.048416,12.80929095,0.00078561,66.0425,313.7656,267.8118,92.1998,0,U,66514,999,3835,0.00011349935,-3.5e-07,0
