OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GOKTURK 2,2012-073A,2026-09-12T23:08:34.700064,14.75610937,.00021436,97.6784,88.9934,74.8004,285.3443,0,U,39030,999,73745,.27772159E-4,.142E-5,0
LANDSAT 8,2013-008A,2026-09-12T22:07:56.858304,14.57098520,.00013264,98.2225,324.9798,95.1169,265.0181,0,U,39084,999,71067,.57637349E-4,.214E-5,0
SARAL,2013-009A,2026-09-12T22:55:54.870816,14.32906908,.00026575,98.5566,81.4257,52.0128,308.1296,0,U,39086,999,70817,.26035945E-4,.27E-6,0
GAOFEN-1,2013-018A,2026-09-12T22:58:40.980000,14.76534914,.00168493,97.9031,326.2059,348.3495,11.7323,0,U,39150,999,72119,.3600104E-4,.201E-5,0
VNREDSAT 1,2013-021B,2026-09-12T22:25:40.571040,14.64742770,.00012952,97.9003,305.9366,79.7144,280.4205,0,U,39160,999,71313,.62086419E-4,.286E-5,0
ARIRANG-5 (KOMPSAT-5),2013-042A,2026-09-12T22:58:16.438944,15.04542645,.00032164,97.6205,81.4371,164.2288,195.9038,0,U,39227,999,71705,.20445403E-4,.226E-5,0
SKYSAT-A,2013-066C,2026-09-12T21:02:02.357952,15.13391608,.0021503,97.3731,302.4635,15.3678,344.8202,0,U,39418,999,70174,.13542505E-3,.2365E-4,0
DUBAISAT-2,2013-066D,2026-09-12T23:31:38.529120,15.10716618,.00126913,97.4648,243.8978,90.7055,269.5629,0,U,39419,999,69964,.21582259E-3,.3519E-4,0
GPM-CORE,2014-009C,2026-09-12T22:10:00.850080,15.44899930,.00111959,64.9726,14.1321,260.1180,99.8697,0,U,39574,999,71136,.19634148E-3,.9051E-4,0
SENTINEL-1A,2014-016A,2026-09-12T23:44:06.781632,14.59804385,.00014465,98.1586,262.1493,84.2696,275.8669,0,U,39634,999,66282,.26425167E-4,.8E-6,0
KAZEOSAT 1,2014-024A,2026-09-12T22:24:29.146752,14.42062827,.00014454,98.3143,326.1628,92.4355,267.7001,0,U,39731,999,65120,.2761044E-4,.48E-6,0
ALOS-2,2014-029A,2026-09-12T22:14:19.188672,14.79468783,.00015097,97.9233,351.8343,93.5770,266.5614,0,U,39766,999,66455,.10644979E-3,.744E-5,0
KAZEOSAT 2,2014-033A,2026-09-12T20:43:00.746976,14.85557594,.00096867,97.5363,90.8366,37.7909,322.3986,0,U,40010,999,66197,.46226444E-4,.35E-5,0
HODOYOSHI-4,2014-033B,2026-09-12T23:29:22.289280,14.88304274,.00241468,97.5474,76.5945,17.8624,342.3437,0,U,40011,999,66186,.67058773E-4,.571E-5,0
DEIMOS-2,2014-033D,2026-09-12T22:21:44.572032,14.93920487,.00022745,97.5681,127.2855,67.4738,292.6723,0,U,40013,999,65082,.1476345E-3,.1516E-4,0
HODOYOSHI-3,2014-033F,2026-09-12T22:55:53.137632,14.85554361,.00340921,97.6527,55.5288,66.5955,293.8840,0,U,40015,999,66065,.10123821E-3,.831E-5,0
SPOT 7,2014-034A,2026-09-12T21:56:14.503200,14.61019297,.00012564,98.0550,316.1094,78.0936,282.0406,0,U,40053,999,64994,.57082705E-4,.235E-5,0
SKYSAT-B,2014-037D,2026-09-12T20:56:32.829216,14.88212582,.0005675,98.3940,219.8913,8.1150,352.0156,0,U,40072,999,65900,.11012453E-3,.954E-5,0
WORLDVIEW-3 (WV-3),2014-048A,2026-09-12T23:02:49.900128,14.85137996,.00024205,97.8497,329.5545,59.8544,300.2910,0,U,40115,999,65493,.66239286E-4,.513E-5,0
GAOFEN-2,2014-049A,2026-09-12T22:39:04.503168,14.80996749,.00063442,98.0034,320.0324,318.5281,41.5449,0,U,40118,999,65222,.87001204E-4,.621E-5,0
YAOGAN-21,2014-053A,2026-09-12T23:28:42.489120,15.27348238,.00091007,97.1401,292.4748,132.0298,228.1718,0,U,40143,999,66835,.14398298E-3,.379E-4,0
YAOGAN-22,2014-063A,2026-09-12T22:45:48.817152,13.15533189,.00062352,100.7861,48.7329,358.2874,1.8215,0,U,40275,999,57135,-.20702131E-4,-.55E-6,0
ASNARO,2014-070A,2026-09-12T22:28:25.145760,15.19664822,.00039999,97.3390,329.6572,192.0881,168.0259,0,U,40298,999,65733,.23233919E-3,.489E-4,0
YAOGAN-24,2014-072A,2026-09-12T22:20:51.244224,14.76178453,.0014252,98.1614,34.0623,349.1207,10.9692,0,U,40310,999,63666,.14228744E-4,.45E-6,0
CBERS 4,2014-079A,2026-09-12T22:20:23.242848,14.35517826,.00019505,98.3451,309.9719,98.6052,261.5355,0,U,40336,999,61654,.704146E-5,-.22E-6,0
YAOGAN-26,2014-088A,2026-09-12T23:44:04.164576,15.50666429,.00058522,97.0691,254.3714,86.3648,273.8274,0,U,40362,999,65129,.32550055E-3,.18614E-3,0
SMAP,2015-003A,2026-09-12T22:38:21.089760,14.63369364,.00014455,98.1315,261.8093,91.4150,268.7218,0,U,40376,999,62045,.57266327E-4,.249E-5,0
KOMPSAT-3A,2015-014A,2026-09-12T22:38:45.502080,15.58451613,.00488522,97.6927,254.0613,212.2806,147.5458,0,U,40536,999,63546,.24883696E-3,.19952E-3,0
SENTINEL-2A,2015-028A,2026-09-12T23:26:44.553120,14.30819914,.00011976,98.5628,329.5528,83.5864,276.5455,0,U,40697,999,58628,.65686E-6,-.42E-6,0
GAOFEN-8,2015-030A,2026-09-12T20:05:42.726912,15.48901684,.00069263,97.6847,94.6606,232.4494,127.6128,0,U,40701,999,62500,.32551657E-3,.17484E-3,0
CARBONITE 1 (CBNT-1),2015-032D,2026-09-12T22:07:57.102816,14.83818897,.00148193,97.6556,70.3615,12.3091,347.8483,0,U,40718,999,60235,.17720302E-3,.142E-4,0
YAOGAN-27,2015-040A,2026-09-12T23:37:37.113312,13.16075273,.00085737,100.1257,238.5906,16.8026,343.3371,0,U,40878,999,52921,.25017654E-3,.53E-6,0
GAOFEN-9 01,2015-047A,2026-09-12T23:33:26.000352,14.83017701,.00264808,97.6224,287.6692,209.0777,150.8965,0,U,40894,999,59320,.73024716E-4,.546E-5,0
YAOGAN-28,2015-064A,2026-09-12T22:46:16.773600,15.28411196,.00091258,97.3201,32.5492,235.1167,124.9216,0,U,41026,999,60408,.20021685E-3,.547E-4,0
YAOGAN-29,2015-069A,2026-09-13T00:27:59.293728,14.83141148,.00029051,97.9990,284.7750,90.9126,269.2420,0,U,41038,999,58364,-.20914912E-4,-.225E-5,0
KENT RIDGE 1,2015-077B,2026-09-12T07:28:58.123776,15.23580049,.00081237,14.9805,337.8170,29.5153,330.5627,0,U,41167,999,59440,.9436726E-4,.3091E-4,0
GAOFEN-4,2015-083A,2026-09-12T22:57:38.835936,1.00271387,.00036378,0.5785,83.3606,139.4875,219.2338,0,U,41194,999,3940,0,-.347E-5,0
JASON-3,2016-002A,2026-09-12T22:12:06.429888,12.87627419,.00085701,66.0417,301.3762,267.0812,92.9226,0,U,41240,999,49854,.11299099E-3,-.34E-6,0
SENTINEL-3A,2016-011A,2026-09-12T22:46:34.472640,14.26734427,.00010927,98.6287,322.0596,106.0521,254.0780,0,U,41335,999,55057,.59092979E-4,.99E-6,0
ZIYUAN 3-02 (ZY 3-02),2016-033A,2026-09-12T22:23:26.803968,15.21252011,.00128302,97.3771,329.9869,359.5413,0.5809,0,U,41556,999,57132,.16205568E-3,.3558E-4,0
CARTOSAT-2C,2016-040A,2026-09-12T22:09:34.443648,15.19249747,.00089109,97.4397,314.6504,178.8462,181.2794,0,U,41599,999,56703,.54135727E-4,.1074E-4,0
SKYSAT-C1,2016-040C,2026-09-12T14:07:30.989568,15.37577674,.00042414,96.9513,282.6249,79.1695,281.0028,0,U,41601,999,57129,.17941876E-3,.6541E-4,0
LAPAN-A3,2016-040E,2026-09-12T23:08:38.906880,15.33585639,.00119361,97.1562,249.2898,65.2665,294.9819,0,U,41603,999,56826,.90012382E-4,.2852E-4,0
GAOFEN-3,2016-049A,2026-09-12T23:39:19.004832,14.42224927,.00008852,98.4044,262.4604,76.2678,283.8610,0,U,41727,999,53130,.970234E-5,-.11E-6,0
SKYSAT-C4,2016-058B,2026-09-12T14:56:49.265088,15.51110753,.00004304,96.9155,273.8767,48.8613,311.2678,0,U,41771,999,55901,.23584145E-3,.13662E-3,0
SKYSAT-C5,2016-058C,2026-09-12T15:15:02.520576,15.34174966,.00016672,97.0399,292.2941,24.9155,335.2169,0,U,41772,999,55715,.16121382E-3,.5258E-4,0
SKYSAT-C2,2016-058D,2026-09-12T14:46:10.710336,15.43829410,.00050753,97.0145,274.5182,92.1886,267.9944,0,U,41773,999,55853,.20474381E-3,.92E-4,0
SKYSAT-C3,2016-058E,2026-09-12T15:14:14.818272,15.56094962,.00020799,96.8950,283.3071,73.2869,286.8616,0,U,41774,999,55969,.29191811E-3,.203E-3,0
ALSAT-1B,2016-059C,2026-09-12T23:29:52.669248,14.72329955,.00082211,97.7785,260.9705,311.6246,48.4257,0,U,41785,999,53349,.15832974E-4,.53E-6,0
PATHFINDER 1,2016-059E,2026-09-12T22:41:09.713184,14.67753970,.0026989,97.8228,251.2894,287.5317,72.2940,0,U,41787,999,53258,.77392934E-4,.396E-5,0
SCATSAT 1,2016-059H,2026-09-12T22:10:38.632800,14.79700452,.00535967,98.1109,320.5642,326.3900,33.3915,0,U,41790,999,11456,.98067167E-4,.696E-5,0
GOKTURK 1A,2016-073A,2026-09-12T22:32:48.539616,14.62748356,.00015722,98.1546,149.3420,78.2322,281.9056,0,U,41875,999,52165,.60584981E-4,.262E-5,0
